Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.5916666666666667,0.5333333333333333,0.08080808080808081,0.14035087719298245
Random Forest,0.5083333333333333,0.28888888888888886,0.13131313131313133,0.18055555555555555
